quantity,Date,Region
508,2020-10-18,north
572,2020-10-18,south
526,2020-10-18,east
571,2020-10-18,west
585,2020-10-18,north
557,2020-10-18,south
578,2020-10-18,east
526,2020-10-18,west
584,2020-10-18,north
587,2020-10-18,south
522,2020-10-18,east
519,2020-10-18,west
533,2020-10-18,north
507,2020-10-18,south
536,2020-10-18,east
583,2020-10-18,west
577,2020-10-18,north
535,2020-10-18,south
567,2020-10-18,east
518,2020-10-18,west
513,2020-10-18,north
598,2020-10-18,south
599,2020-10-18,east
558,2020-10-18,west
592,2020-10-18,north
590,2020-10-18,south
542,2020-10-18,east
600,2020-10-18,west
552,2020-10-19,north
575,2020-10-19,south
518,2020-10-19,east
508,2020-10-19,west
558,2020-10-19,north
572,2020-10-19,south
529,2020-10-19,east
539,2020-10-19,west
551,2020-10-19,north
562,2020-10-19,south
592,2020-10-19,east
560,2020-10-19,west
536,2020-10-19,north
555,2020-10-19,south
560,2020-10-19,east
524,2020-10-19,west
582,2020-10-19,north
521,2020-10-19,south
540,2020-10-19,east
600,2020-10-19,west
510,2020-10-19,north
528,2020-10-19,south
501,2020-10-19,east
510,2020-10-19,west
559,2020-10-19,north
592,2020-10-19,south
520,2020-10-19,east
594,2020-10-19,west
523,2020-10-20,north
586,2020-10-20,south
586,2020-10-20,east
538,2020-10-20,west
536,2020-10-20,north
573,2020-10-20,south
586,2020-10-20,east
554,2020-10-20,west
531,2020-10-20,north
518,2020-10-20,south
548,2020-10-20,east
517,2020-10-20,west
518,2020-10-20,north
527,2020-10-20,south
563,2020-10-20,east
539,2020-10-20,west
528,2020-10-20,north
588,2020-10-20,south
560,2020-10-20,east
536,2020-10-20,west
600,2020-10-20,north
588,2020-10-20,south
544,2020-10-20,east
546,2020-10-20,west
590,2020-10-20,north
561,2020-10-20,south
518,2020-10-20,east
579,2020-10-20,west
580,2020-10-21,north
507,2020-10-21,south
574,2020-10-21,east
535,2020-10-21,west
554,2020-10-21,north
586,2020-10-21,south
590,2020-10-21,east
586,2020-10-21,west
558,2020-10-21,north
518,2020-10-21,south
510,2020-10-21,east
505,2020-10-21,west
596,2020-10-21,north
533,2020-10-21,south
564,2020-10-21,east
547,2020-10-21,west
539,2020-10-21,north
513,2020-10-21,south
561,2020-10-21,east
547,2020-10-21,west
586,2020-10-21,north
577,2020-10-21,south
521,2020-10-21,east
600,2020-10-21,west
533,2020-10-21,north
561,2020-10-21,south
553,2020-10-21,east
561,2020-10-21,west
583,2020-10-22,north
546,2020-10-22,south
570,2020-10-22,east
556,2020-10-22,west
531,2020-10-22,north
590,2020-10-22,south
553,2020-10-22,east
510,2020-10-22,west
505,2020-10-22,north
596,2020-10-22,south
586,2020-10-22,east
584,2020-10-22,west
545,2020-10-22,north
518,2020-10-22,south
517,2020-10-22,east
595,2020-10-22,west
534,2020-10-22,north
504,2020-10-22,south
531,2020-10-22,east
575,2020-10-22,west
593,2020-10-22,north
533,2020-10-22,south
570,2020-10-22,east
573,2020-10-22,west
533,2020-10-22,north
579,2020-10-22,south
592,2020-10-22,east
554,2020-10-22,west
545,2020-10-23,north
511,2020-10-23,south
545,2020-10-23,east
525,2020-10-23,west
561,2020-10-23,north
594,2020-10-23,south
570,2020-10-23,east
508,2020-10-23,west
566,2020-10-23,north
562,2020-10-23,south
535,2020-10-23,east
598,2020-10-23,west
595,2020-10-23,north
519,2020-10-23,south
585,2020-10-23,east
533,2020-10-23,west
556,2020-10-23,north
579,2020-10-23,south
525,2020-10-23,east
524,2020-10-23,west
550,2020-10-23,north
560,2020-10-23,south
528,2020-10-23,east
531,2020-10-23,west
577,2020-10-23,north
521,2020-10-23,south
520,2020-10-23,east
598,2020-10-23,west
579,2020-10-24,north
531,2020-10-24,south
569,2020-10-24,east
512,2020-10-24,west
533,2020-10-24,north
580,2020-10-24,south
561,2020-10-24,east
500,2020-10-24,west
576,2020-10-24,north
593,2020-10-24,south
556,2020-10-24,east
535,2020-10-24,west
521,2020-10-24,north
523,2020-10-24,south
520,2020-10-24,east
579,2020-10-24,west
503,2020-10-24,north
506,2020-10-24,south
588,2020-10-24,east
550,2020-10-24,west
530,2020-10-24,north
542,2020-10-24,south
575,2020-10-24,east
582,2020-10-24,west
519,2020-10-24,north
533,2020-10-24,south
549,2020-10-24,east
522,2020-10-24,west
563,2020-10-25,north
560,2020-10-25,south
535,2020-10-25,east
539,2020-10-25,west
520,2020-10-25,north
579,2020-10-25,south
516,2020-10-25,east
537,2020-10-25,west
580,2020-10-25,north
513,2020-10-25,south
563,2020-10-25,east
507,2020-10-25,west
511,2020-10-25,north
542,2020-10-25,south
524,2020-10-25,east
549,2020-10-25,west
509,2020-10-25,north
571,2020-10-25,south
585,2020-10-25,east
595,2020-10-25,west
585,2020-10-25,north
530,2020-10-25,south
536,2020-10-25,east
587,2020-10-25,west
530,2020-10-25,north
541,2020-10-25,south
594,2020-10-25,east
583,2020-10-25,west
582,2020-10-26,north
506,2020-10-26,south
552,2020-10-26,east
514,2020-10-26,west
536,2020-10-26,north
598,2020-10-26,south
558,2020-10-26,east
520,2020-10-26,west
566,2020-10-26,north
502,2020-10-26,south
544,2020-10-26,east
516,2020-10-26,west
530,2020-10-26,north
577,2020-10-26,south
538,2020-10-26,east
568,2020-10-26,west
514,2020-10-26,north
594,2020-10-26,south
566,2020-10-26,east
502,2020-10-26,west
593,2020-10-26,north
596,2020-10-26,south
571,2020-10-26,east
507,2020-10-26,west
592,2020-10-26,north
576,2020-10-26,south
524,2020-10-26,east
585,2020-10-26,west
527,2020-10-27,north
572,2020-10-27,south
561,2020-10-27,east
506,2020-10-27,west
529,2020-10-27,north
524,2020-10-27,south
579,2020-10-27,east
590,2020-10-27,west
554,2020-10-27,north
525,2020-10-27,south
589,2020-10-27,east
540,2020-10-27,west
536,2020-10-27,north
550,2020-10-27,south
593,2020-10-27,east
548,2020-10-27,west
532,2020-10-27,north
531,2020-10-27,south
577,2020-10-27,east
587,2020-10-27,west
555,2020-10-27,north
571,2020-10-27,south
514,2020-10-27,east
598,2020-10-27,west
506,2020-10-27,north
575,2020-10-27,south
549,2020-10-27,east
558,2020-10-27,west
582,2020-10-28,north
529,2020-10-28,south
548,2020-10-28,east
577,2020-10-28,west
586,2020-10-28,north
502,2020-10-28,south
590,2020-10-28,east
549,2020-10-28,west
535,2020-10-28,north
567,2020-10-28,south
535,2020-10-28,east
597,2020-10-28,west
580,2020-10-28,north
509,2020-10-28,south
548,2020-10-28,east
513,2020-10-28,west
588,2020-10-28,north
530,2020-10-28,south
581,2020-10-28,east
588,2020-10-28,west
547,2020-10-28,north
547,2020-10-28,south
516,2020-10-28,east
588,2020-10-28,west
581,2020-10-28,north
520,2020-10-28,south
557,2020-10-28,east
526,2020-10-28,west
590,2020-10-29,north
564,2020-10-29,south
519,2020-10-29,east
508,2020-10-29,west
575,2020-10-29,north
553,2020-10-29,south
551,2020-10-29,east
584,2020-10-29,west
544,2020-10-29,north
550,2020-10-29,south
572,2020-10-29,east
571,2020-10-29,west
521,2020-10-29,north
521,2020-10-29,south
504,2020-10-29,east
591,2020-10-29,west
513,2020-10-29,north
509,2020-10-29,south
567,2020-10-29,east
585,2020-10-29,west
594,2020-10-29,north
516,2020-10-29,south
583,2020-10-29,east
593,2020-10-29,west
529,2020-10-29,north
515,2020-10-29,south
540,2020-10-29,east
522,2020-10-29,west
591,2020-10-30,north
563,2020-10-30,south
592,2020-10-30,east
562,2020-10-30,west
550,2020-10-30,north
599,2020-10-30,south
546,2020-10-30,east
582,2020-10-30,west
579,2020-10-30,north
546,2020-10-30,south
535,2020-10-30,east
522,2020-10-30,west
544,2020-10-30,north
522,2020-10-30,south
585,2020-10-30,east
552,2020-10-30,west
600,2020-10-30,north
599,2020-10-30,south
591,2020-10-30,east
593,2020-10-30,west
580,2020-10-30,north
583,2020-10-30,south
522,2020-10-30,east
517,2020-10-30,west
579,2020-10-30,north
594,2020-10-30,south
508,2020-10-30,east
599,2020-10-30,west
527,2020-10-31,north
586,2020-10-31,south
585,2020-10-31,east
556,2020-10-31,west
513,2020-10-31,north
520,2020-10-31,south
598,2020-10-31,east
534,2020-10-31,west
567,2020-10-31,north
575,2020-10-31,south
568,2020-10-31,east
557,2020-10-31,west
546,2020-10-31,north
545,2020-10-31,south
559,2020-10-31,east
558,2020-10-31,west
550,2020-10-31,north
530,2020-10-31,south
576,2020-10-31,east
527,2020-10-31,west
562,2020-10-31,north
554,2020-10-31,south
503,2020-10-31,east
504,2020-10-31,west
574,2020-10-31,north
567,2020-10-31,south
572,2020-10-31,east
588,2020-10-31,west
555,2020-11-01,north
517,2020-11-01,south
590,2020-11-01,east
531,2020-11-01,west
506,2020-11-01,north
541,2020-11-01,south
538,2020-11-01,east
501,2020-11-01,west
537,2020-11-01,north
596,2020-11-01,south
517,2020-11-01,east
586,2020-11-01,west
504,2020-11-01,north
572,2020-11-01,south
532,2020-11-01,east
559,2020-11-01,west
541,2020-11-01,north
599,2020-11-01,south
539,2020-11-01,east
592,2020-11-01,west
575,2020-11-01,north
514,2020-11-01,south
590,2020-11-01,east
558,2020-11-01,west
569,2020-11-01,north
590,2020-11-01,south
577,2020-11-01,east
515,2020-11-01,west
578,2020-11-02,north
500,2020-11-02,south
580,2020-11-02,east
562,2020-11-02,west
557,2020-11-02,north
574,2020-11-02,south
556,2020-11-02,east
520,2020-11-02,west
583,2020-11-02,north
598,2020-11-02,south
541,2020-11-02,east
591,2020-11-02,west
545,2020-11-02,north
548,2020-11-02,south
575,2020-11-02,east
571,2020-11-02,west
586,2020-11-02,north
568,2020-11-02,south
590,2020-11-02,east
593,2020-11-02,west
550,2020-11-02,north
558,2020-11-02,south
591,2020-11-02,east
531,2020-11-02,west
576,2020-11-02,north
529,2020-11-02,south
572,2020-11-02,east
509,2020-11-02,west
517,2020-11-03,north
584,2020-11-03,south
582,2020-11-03,east
527,2020-11-03,west
553,2020-11-03,north
574,2020-11-03,south
511,2020-11-03,east
562,2020-11-03,west
572,2020-11-03,north
512,2020-11-03,south
579,2020-11-03,east
556,2020-11-03,west
579,2020-11-03,north
514,2020-11-03,south
504,2020-11-03,east
591,2020-11-03,west
534,2020-11-03,north
587,2020-11-03,south
507,2020-11-03,east
569,2020-11-03,west
562,2020-11-03,north
522,2020-11-03,south
522,2020-11-03,east
594,2020-11-03,west
563,2020-11-03,north
529,2020-11-03,south
510,2020-11-03,east
565,2020-11-03,west
591,2020-11-04,north
596,2020-11-04,south
515,2020-11-04,east
502,2020-11-04,west
593,2020-11-04,north
549,2020-11-04,south
562,2020-11-04,east
500,2020-11-04,west
517,2020-11-04,north
516,2020-11-04,south
531,2020-11-04,east
505,2020-11-04,west
539,2020-11-04,north
518,2020-11-04,south
600,2020-11-04,east
517,2020-11-04,west
517,2020-11-04,north
540,2020-11-04,south
539,2020-11-04,east
553,2020-11-04,west
527,2020-11-04,north
594,2020-11-04,south
535,2020-11-04,east
555,2020-11-04,west
562,2020-11-04,north
582,2020-11-04,south
540,2020-11-04,east
582,2020-11-04,west
548,2020-11-05,north
535,2020-11-05,south
562,2020-11-05,east
513,2020-11-05,west
583,2020-11-05,north
556,2020-11-05,south
534,2020-11-05,east
575,2020-11-05,west
537,2020-11-05,north
534,2020-11-05,south
593,2020-11-05,east
596,2020-11-05,west
592,2020-11-05,north
591,2020-11-05,south
598,2020-11-05,east
588,2020-11-05,west
512,2020-11-05,north
552,2020-11-05,south
526,2020-11-05,east
538,2020-11-05,west
569,2020-11-05,north
578,2020-11-05,south
522,2020-11-05,east
521,2020-11-05,west
551,2020-11-05,north
583,2020-11-05,south
582,2020-11-05,east
590,2020-11-05,west
575,2020-11-06,north
533,2020-11-06,south
553,2020-11-06,east
525,2020-11-06,west
587,2020-11-06,north
595,2020-11-06,south
534,2020-11-06,east
536,2020-11-06,west
563,2020-11-06,north
510,2020-11-06,south
535,2020-11-06,east
505,2020-11-06,west
527,2020-11-06,north
557,2020-11-06,south
515,2020-11-06,east
544,2020-11-06,west
516,2020-11-06,north
595,2020-11-06,south
579,2020-11-06,east
551,2020-11-06,west
529,2020-11-06,north
539,2020-11-06,south
536,2020-11-06,east
512,2020-11-06,west
597,2020-11-06,north
531,2020-11-06,south
535,2020-11-06,east
502,2020-11-06,west
551,2020-11-07,north
547,2020-11-07,south
529,2020-11-07,east
586,2020-11-07,west
558,2020-11-07,north
560,2020-11-07,south
515,2020-11-07,east
503,2020-11-07,west
524,2020-11-07,north
590,2020-11-07,south
581,2020-11-07,east
510,2020-11-07,west
531,2020-11-07,north
573,2020-11-07,south
552,2020-11-07,east
586,2020-11-07,west
563,2020-11-07,north
549,2020-11-07,south
594,2020-11-07,east
556,2020-11-07,west
514,2020-11-07,north
557,2020-11-07,south
570,2020-11-07,east
591,2020-11-07,west
534,2020-11-07,north
580,2020-11-07,south
526,2020-11-07,east
511,2020-11-07,west
595,2020-11-08,north
565,2020-11-08,south
527,2020-11-08,east
578,2020-11-08,west
543,2020-11-08,north
529,2020-11-08,south
576,2020-11-08,east
559,2020-11-08,west
505,2020-11-08,north
532,2020-11-08,south
574,2020-11-08,east
533,2020-11-08,west
558,2020-11-08,north
570,2020-11-08,south
505,2020-11-08,east
560,2020-11-08,west
511,2020-11-08,north
597,2020-11-08,south
576,2020-11-08,east
583,2020-11-08,west
530,2020-11-08,north
584,2020-11-08,south
561,2020-11-08,east
593,2020-11-08,west
522,2020-11-08,north
516,2020-11-08,south
527,2020-11-08,east
558,2020-11-08,west
596,2020-11-09,north
531,2020-11-09,south
531,2020-11-09,east
504,2020-11-09,west
540,2020-11-09,north
592,2020-11-09,south
528,2020-11-09,east
518,2020-11-09,west
583,2020-11-09,north
534,2020-11-09,south
570,2020-11-09,east
541,2020-11-09,west
573,2020-11-09,north
600,2020-11-09,south
547,2020-11-09,east
506,2020-11-09,west
568,2020-11-09,north
592,2020-11-09,south
509,2020-11-09,east
559,2020-11-09,west
568,2020-11-09,north
569,2020-11-09,south
536,2020-11-09,east
523,2020-11-09,west
510,2020-11-09,north
554,2020-11-09,south
585,2020-11-09,east
583,2020-11-09,west
546,2020-11-10,north
578,2020-11-10,south
565,2020-11-10,east
546,2020-11-10,west
525,2020-11-10,north
563,2020-11-10,south
515,2020-11-10,east
574,2020-11-10,west
500,2020-11-10,north
530,2020-11-10,south
504,2020-11-10,east
519,2020-11-10,west
522,2020-11-10,north
525,2020-11-10,south
504,2020-11-10,east
561,2020-11-10,west
517,2020-11-10,north
576,2020-11-10,south
580,2020-11-10,east
568,2020-11-10,west
553,2020-11-10,north
538,2020-11-10,south
579,2020-11-10,east
551,2020-11-10,west
561,2020-11-10,north
527,2020-11-10,south
583,2020-11-10,east
579,2020-11-10,west
565,2020-11-11,north
511,2020-11-11,south
577,2020-11-11,east
563,2020-11-11,west
501,2020-11-11,north
583,2020-11-11,south
527,2020-11-11,east
539,2020-11-11,west
562,2020-11-11,north
596,2020-11-11,south
592,2020-11-11,east
583,2020-11-11,west
542,2020-11-11,north
567,2020-11-11,south
590,2020-11-11,east
566,2020-11-11,west
502,2020-11-11,north
531,2020-11-11,south
507,2020-11-11,east
587,2020-11-11,west
547,2020-11-11,north
590,2020-11-11,south
535,2020-11-11,east
544,2020-11-11,west
531,2020-11-11,north
551,2020-11-11,south
538,2020-11-11,east
576,2020-11-11,west
571,2020-11-12,north
532,2020-11-12,south
562,2020-11-12,east
505,2020-11-12,west
526,2020-11-12,north
598,2020-11-12,south
528,2020-11-12,east
566,2020-11-12,west
518,2020-11-12,north
538,2020-11-12,south
527,2020-11-12,east
600,2020-11-12,west
560,2020-11-12,north
536,2020-11-12,south
576,2020-11-12,east
595,2020-11-12,west
586,2020-11-12,north
532,2020-11-12,south
502,2020-11-12,east
545,2020-11-12,west
513,2020-11-12,north
504,2020-11-12,south
519,2020-11-12,east
594,2020-11-12,west
506,2020-11-12,north
578,2020-11-12,south
530,2020-11-12,east
524,2020-11-12,west
527,2020-11-13,north
507,2020-11-13,south
559,2020-11-13,east
545,2020-11-13,west
517,2020-11-13,north
599,2020-11-13,south
516,2020-11-13,east
561,2020-11-13,west
575,2020-11-13,north
519,2020-11-13,south
543,2020-11-13,east
583,2020-11-13,west
599,2020-11-13,north
535,2020-11-13,south
519,2020-11-13,east
547,2020-11-13,west
530,2020-11-13,north
502,2020-11-13,south
573,2020-11-13,east
564,2020-11-13,west
560,2020-11-13,north
515,2020-11-13,south
558,2020-11-13,east
596,2020-11-13,west
596,2020-11-13,north
593,2020-11-13,south
560,2020-11-13,east
547,2020-11-13,west
583,2020-11-14,north
514,2020-11-14,south
534,2020-11-14,east
519,2020-11-14,west
593,2020-11-14,north
565,2020-11-14,south
579,2020-11-14,east
506,2020-11-14,west
516,2020-11-14,north
544,2020-11-14,south
551,2020-11-14,east
527,2020-11-14,west
583,2020-11-14,north
525,2020-11-14,south
521,2020-11-14,east
548,2020-11-14,west
598,2020-11-14,north
555,2020-11-14,south
563,2020-11-14,east
565,2020-11-14,west
541,2020-11-14,north
591,2020-11-14,south
576,2020-11-14,east
550,2020-11-14,west
559,2020-11-14,north
522,2020-11-14,south
537,2020-11-14,east
600,2020-11-14,west
562,2020-11-15,north
546,2020-11-15,south
598,2020-11-15,east
553,2020-11-15,west
544,2020-11-15,north
569,2020-11-15,south
594,2020-11-15,east
595,2020-11-15,west
536,2020-11-15,north
532,2020-11-15,south
561,2020-11-15,east
586,2020-11-15,west
507,2020-11-15,north
556,2020-11-15,south
547,2020-11-15,east
515,2020-11-15,west
516,2020-11-15,north
560,2020-11-15,south
524,2020-11-15,east
562,2020-11-15,west
561,2020-11-15,north
500,2020-11-15,south
536,2020-11-15,east
596,2020-11-15,west
525,2020-11-15,north
532,2020-11-15,south
515,2020-11-15,east
551,2020-11-15,west
591,2020-11-16,north
557,2020-11-16,south
542,2020-11-16,east
575,2020-11-16,west
541,2020-11-16,north
533,2020-11-16,south
554,2020-11-16,east
595,2020-11-16,west
593,2020-11-16,north
529,2020-11-16,south
579,2020-11-16,east
523,2020-11-16,west
582,2020-11-16,north
557,2020-11-16,south
583,2020-11-16,east
558,2020-11-16,west
591,2020-11-16,north
579,2020-11-16,south
588,2020-11-16,east
579,2020-11-16,west
514,2020-11-16,north
540,2020-11-16,south
588,2020-11-16,east
500,2020-11-16,west
542,2020-11-16,north
543,2020-11-16,south
559,2020-11-16,east
576,2020-11-16,west
562,2020-11-17,north
507,2020-11-17,south
578,2020-11-17,east
510,2020-11-17,west
600,2020-11-17,north
549,2020-11-17,south
509,2020-11-17,east
579,2020-11-17,west
573,2020-11-17,north
600,2020-11-17,south
502,2020-11-17,east
539,2020-11-17,west
585,2020-11-17,north
545,2020-11-17,south
509,2020-11-17,east
571,2020-11-17,west
505,2020-11-17,north
551,2020-11-17,south
583,2020-11-17,east
507,2020-11-17,west
528,2020-11-17,north
551,2020-11-17,south
559,2020-11-17,east
533,2020-11-17,west
578,2020-11-17,north
577,2020-11-17,south
532,2020-11-17,east
531,2020-11-17,west
566,2020-11-18,north
590,2020-11-18,south
584,2020-11-18,east
554,2020-11-18,west
587,2020-11-18,north
574,2020-11-18,south
590,2020-11-18,east
540,2020-11-18,west
545,2020-11-18,north
577,2020-11-18,south
524,2020-11-18,east
578,2020-11-18,west
559,2020-11-18,north
595,2020-11-18,south
558,2020-11-18,east
532,2020-11-18,west
530,2020-11-18,north
544,2020-11-18,south
536,2020-11-18,east
512,2020-11-18,west
570,2020-11-18,north
577,2020-11-18,south
505,2020-11-18,east
505,2020-11-18,west
502,2020-11-18,north
580,2020-11-18,south
578,2020-11-18,east
508,2020-11-18,west
522,2020-11-19,north
530,2020-11-19,south
545,2020-11-19,east
566,2020-11-19,west
535,2020-11-19,north
580,2020-11-19,south
528,2020-11-19,east
527,2020-11-19,west
578,2020-11-19,north
578,2020-11-19,south
515,2020-11-19,east
526,2020-11-19,west
511,2020-11-19,north
578,2020-11-19,south
596,2020-11-19,east
557,2020-11-19,west
595,2020-11-19,north
551,2020-11-19,south
561,2020-11-19,east
582,2020-11-19,west
509,2020-11-19,north
560,2020-11-19,south
545,2020-11-19,east
515,2020-11-19,west
560,2020-11-19,north
528,2020-11-19,south
532,2020-11-19,east
515,2020-11-19,west
561,2020-11-20,north
551,2020-11-20,south
509,2020-11-20,east
508,2020-11-20,west
515,2020-11-20,north
575,2020-11-20,south
591,2020-11-20,east
538,2020-11-20,west
538,2020-11-20,north
573,2020-11-20,south
597,2020-11-20,east
568,2020-11-20,west
525,2020-11-20,north
501,2020-11-20,south
582,2020-11-20,east
558,2020-11-20,west
573,2020-11-20,north
553,2020-11-20,south
552,2020-11-20,east
569,2020-11-20,west
550,2020-11-20,north
598,2020-11-20,south
527,2020-11-20,east
595,2020-11-20,west
502,2020-11-20,north
559,2020-11-20,south
546,2020-11-20,east
538,2020-11-20,west
531,2020-11-21,north
552,2020-11-21,south
541,2020-11-21,east
546,2020-11-21,west
585,2020-11-21,north
510,2020-11-21,south
525,2020-11-21,east
509,2020-11-21,west
521,2020-11-21,north
518,2020-11-21,south
584,2020-11-21,east
546,2020-11-21,west
541,2020-11-21,north
545,2020-11-21,south
508,2020-11-21,east
593,2020-11-21,west
512,2020-11-21,north
556,2020-11-21,south
555,2020-11-21,east
563,2020-11-21,west
573,2020-11-21,north
554,2020-11-21,south
583,2020-11-21,east
595,2020-11-21,west
505,2020-11-21,north
546,2020-11-21,south
506,2020-11-21,east
541,2020-11-21,west
532,2020-11-22,north
525,2020-11-22,south
552,2020-11-22,east
575,2020-11-22,west
577,2020-11-22,north
574,2020-11-22,south
549,2020-11-22,east
553,2020-11-22,west
523,2020-11-22,north
514,2020-11-22,south
524,2020-11-22,east
545,2020-11-22,west
580,2020-11-22,north
546,2020-11-22,south
548,2020-11-22,east
575,2020-11-22,west
588,2020-11-22,north
548,2020-11-22,south
540,2020-11-22,east
515,2020-11-22,west
564,2020-11-22,north
595,2020-11-22,south
562,2020-11-22,east
534,2020-11-22,west
573,2020-11-22,north
586,2020-11-22,south
521,2020-11-22,east
597,2020-11-22,west
589,2020-11-23,north
550,2020-11-23,south
547,2020-11-23,east
544,2020-11-23,west
563,2020-11-23,north
504,2020-11-23,south
549,2020-11-23,east
571,2020-11-23,west
501,2020-11-23,north
537,2020-11-23,south
561,2020-11-23,east
576,2020-11-23,west
508,2020-11-23,north
516,2020-11-23,south
598,2020-11-23,east
514,2020-11-23,west
545,2020-11-23,north
521,2020-11-23,south
541,2020-11-23,east
501,2020-11-23,west
571,2020-11-23,north
552,2020-11-23,south
560,2020-11-23,east
506,2020-11-23,west
569,2020-11-23,north
596,2020-11-23,south
543,2020-11-23,east
537,2020-11-23,west
534,2020-11-24,north
544,2020-11-24,south
581,2020-11-24,east
539,2020-11-24,west
556,2020-11-24,north
560,2020-11-24,south
583,2020-11-24,east
585,2020-11-24,west
551,2020-11-24,north
506,2020-11-24,south
554,2020-11-24,east
571,2020-11-24,west
571,2020-11-24,north
596,2020-11-24,south
574,2020-11-24,east
525,2020-11-24,west
533,2020-11-24,north
511,2020-11-24,south
590,2020-11-24,east
550,2020-11-24,west
506,2020-11-24,north
517,2020-11-24,south
531,2020-11-24,east
537,2020-11-24,west
506,2020-11-24,north
562,2020-11-24,south
563,2020-11-24,east
512,2020-11-24,west
575,2020-11-25,north
587,2020-11-25,south
597,2020-11-25,east
540,2020-11-25,west
511,2020-11-25,north
570,2020-11-25,south
525,2020-11-25,east
506,2020-11-25,west
553,2020-11-25,north
588,2020-11-25,south
523,2020-11-25,east
585,2020-11-25,west
585,2020-11-25,north
523,2020-11-25,south
597,2020-11-25,east
543,2020-11-25,west
579,2020-11-25,north
503,2020-11-25,south
520,2020-11-25,east
569,2020-11-25,west
530,2020-11-25,north
596,2020-11-25,south
575,2020-11-25,east
522,2020-11-25,west
591,2020-11-25,north
555,2020-11-25,south
522,2020-11-25,east
586,2020-11-25,west
590,2020-11-26,north
597,2020-11-26,south
555,2020-11-26,east
581,2020-11-26,west
505,2020-11-26,north
512,2020-11-26,south
556,2020-11-26,east
500,2020-11-26,west
566,2020-11-26,north
508,2020-11-26,south
557,2020-11-26,east
533,2020-11-26,west
572,2020-11-26,north
518,2020-11-26,south
546,2020-11-26,east
509,2020-11-26,west
573,2020-11-26,north
576,2020-11-26,south
525,2020-11-26,east
555,2020-11-26,west
531,2020-11-26,north
587,2020-11-26,south
551,2020-11-26,east
549,2020-11-26,west
552,2020-11-26,north
510,2020-11-26,south
555,2020-11-26,east
569,2020-11-26,west
544,2020-11-27,north
529,2020-11-27,south
560,2020-11-27,east
552,2020-11-27,west
503,2020-11-27,north
545,2020-11-27,south
587,2020-11-27,east
545,2020-11-27,west
568,2020-11-27,north
512,2020-11-27,south
